PartnerId,PartnerName,CustomerId,CustomerName,CustomerDomainName,CustomerCountry,MpnId,Tier2MpnId,InvoiceNumber,ProductId,SkuId,AvailabilityId,SkuName,ProductName,PublisherName,PublisherId,SubscriptionDescription,SubscriptionId,ChargeStartDate,ChargeEndDate,UsageDate,MeterType,MeterCategory,MeterId,MeterSubCategory,MeterName,MeterRegion,Unit,ResourceLocation,ConsumedService,ResourceGroup,ResourceURI,ChargeType,UnitPrice,Quantity,UnitType,BillingPreTaxTotal,BillingCurrency,PricingPreTaxTotal,PricingCurrency,ServiceInfo1,ServiceInfo2,Tags,AdditionalInfo,EffectiveUnitPrice,PCToBCExchangeRate,PCToBCExchangeRateDate,EntitlementId,EntitlementDescription,PartnerEarnedCreditPercentage,CreditPercentage,CreditType,BenefitOrderId,BenefitId,BenefitType
f33f421a-a417-fa1a-991f-7b04 9464988e,AAFNI S.L.R. ,fe0e8tax-298g-446a-a733-7eb7e8rah521,dubpes,dubpes.com,AR,4853676,5341009,G013892800,DZH318Z0BQJM,18,DZH318Z099KP,F1,Azure App Service Free Plan,Microsoft,,,eaf8efa4-5bb8-42f7-ceab-c92e2a2ca096 ,1/8/2022,1/9/2022,1/8/2022,1 App Service Hour,Azure App Service,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,Azure App Service Free Plan,F1 App,,1 Hour,SOUTHCENTRALUS,microsoft.web,temp,/subscriptions/f89c08ca-e14c-4e2f-b388-e8091b780201/resourcegroups/temp/providers/microsoft.web/sites/chatbotdebmediatest,New,0,"0,032256",1 Hour,0,USD,0,USD,,,,"{  ""AppServicePlanUri"": ""/subscriptions/f89c08ca-e14c-4e2f-b388-e8091b780201/resourcegroups/temp/providers/microsoft.web/serverfarms/qnamakerchatbotdebmedia""}",0,1,1/8/2022,50576fd1-2796-4bbf-a1ee-6f1522743355 ,AZURE,15,15,Partner Earned Credit Applied,,,
f33f421a-a417-fa1a-991f-7b04 9464988e,AAFNI S.L.R. ,fe0e8tax-298g-446a-a733-7eb7e8rah521,dubpes,dubpes.com,AR,4853676,5341009,G013892800,DZH318Z0BP0B,004M,DZH318Z0JXNX,Standard,Files,Microsoft,,,eaf8efa4-5bb8-42f7-ceab-c92e2a2ca096 ,1/8/2022,1/9/2022,1/8/2022,10K Write Operations,Storage,f90f81d2-238a-49d0-9f1b-9df13a859843,Files,LRS Write Operations,,10K,EASTUS,Microsoft.Storage,SALES,/subscriptions/f89c08ca-e14c-4e2f-b388-e8091b780201/resourceGroups/SALES/providers/Microsoft.Storage/storageAccounts/fssales,New,"0,015","47,3432",10K,"0,603618096",USD,"0,603618096",USD,,,,,"0,01274983727",1,1/8/2022,50576fd1-2796-4bbf-a1ee-6f1522743355 ,AZURE,15,15,Partner Earned Credit Applied,,,
f33f421a-a417-fa1a-991f-7b04 9464988e,AAFNI S.L.R. ,fe0e8tax-298g-446a-a733-7eb7e8rah521,dubpes,dubpes.com,AR,4853676,5341009,G013892800,DZH318Z0C5TM,7,DZH318Z09H3X,Intra Continent,Bandwidth Inter-Region,Microsoft,,,eaf8efa4-5bb8-42f7-ceab-c92e2a2ca096 ,1/8/2022,1/9/2022,1/8/2022,Data Transfer Out (GB),Bandwidth,dbefcfc1-e3f6-409b-be6d-9cd7b00724a5,Bandwidth Inter-Region,Intra Continent Data Transfer Out,North America,1 GB,EASTUS,Microsoft.Compute,desa,/subscriptions/f89c08ca-e14c-4e2f-b388-e8091b780201/resourceGroups/desa/providers/Microsoft.Compute/virtualMachines/desavm,New,"0,02","0,00066873",1 GB,"0,0000113308",USD,"0,0000113308",USD,,,"{  ""environment"": ""Desa""}","{  ""PipelineType"": ""v2"",  ""DataTransferDirection"": ""DataTrOut""}","0,01694362638",1,1/8/2022,50576fd1-2796-4bbf-a1ee-6f1522743355 ,AZURE,15,15,Partner Earned Credit Applied,,,
